"","SKU.Code","Design.No.","Stock","Category","Size","Color"
"1","AN201-RED-L","AN201",5,"AN : LEGGINGS","L","Red"
"2","AN201-RED-M","AN201",5,"AN : LEGGINGS","M","Red"
"3","AN201-RED-S","AN201",3,"AN : LEGGINGS","S","Red"
"4","AN201-RED-XL","AN201",6,"AN : LEGGINGS","XL","Red"
"5","AN201-RED-XXL","AN201",3,"AN : LEGGINGS","XXL","Red"
"6","AN202-ORANGE-L","AN202",11,"AN : LEGGINGS","L","Orange"
"7","AN202-ORANGE-M","AN202",3,"AN : LEGGINGS","M","Orange"
"8","AN202-ORANGE-S","AN202",16,"AN : LEGGINGS","S","Orange"
"9","AN202-ORANGE-XL","AN202",8,"AN : LEGGINGS","XL","Orange"
"10","AN202-ORANGE-XXL","AN202",14,"AN : LEGGINGS","XXL","Orange"
"11","AN203-MAROON-L","AN203",1,"AN : LEGGINGS","L","Maroon"
"12","AN203-MAROON-M","AN203",2,"AN : LEGGINGS","M","Maroon"
"13","AN203-MAROON-S","AN203",2,"AN : LEGGINGS","S","Maroon"
"14","AN203-MAROON-XL","AN203",2,"AN : LEGGINGS","XL","Maroon"
"15","AN203-MAROON-XXL","AN203",3,"AN : LEGGINGS","XXL","Maroon"
"16","AN204-PURPLE-L","AN204",10,"AN : LEGGINGS","L","Purple"
"17","AN204-PURPLE-M","AN204",4,"AN : LEGGINGS","M","Purple"
"18","AN204-PURPLE-S","AN204",6,"AN : LEGGINGS","S","Purple"
"19","AN204-PURPLE-XL","AN204",3,"AN : LEGGINGS","XL","Purple"
"20","AN204-PURPLE-XXL","AN204",5,"AN : LEGGINGS","XXL","Purple"
"21","AN205-YELLOW-L","AN205",9,"AN : LEGGINGS","L","Yellow"
"22","AN205-YELLOW-M","AN205",7,"AN : LEGGINGS","M","Yellow"
"23","AN205-YELLOW-S","AN205",6,"AN : LEGGINGS","S","Yellow"
"24","AN205-YELLOW-XL","AN205",7,"AN : LEGGINGS","XL","Yellow"
"25","AN205-YELLOW-XXL","AN205",13,"AN : LEGGINGS","XXL","Yellow"
"26","AN206-GREEN-L","AN206",10,"AN : LEGGINGS","L","Green"
"27","AN206-GREEN-M","AN206",13,"AN : LEGGINGS","M","Green"
"28","AN206-GREEN-S","AN206",13,"AN : LEGGINGS","S","Green"
"29","AN206-GREEN-XL","AN206",15,"AN : LEGGINGS","XL","Green"
"30","AN206-GREEN-XXL","AN206",13,"AN : LEGGINGS","XXL","Green"
"31","AN207-PINK-L","AN207",4,"AN : LEGGINGS","L","Pink"
"32","AN207-PINK-M","AN207",2,"AN : LEGGINGS","M","Pink"
"33","AN207-PINK-S","AN207",4,"AN : LEGGINGS","S","Pink"
"34","AN207-PINK-XL","AN207",1,"AN : LEGGINGS","XL","Pink"
"35","AN207-PINK-XXL","AN207",2,"AN : LEGGINGS","XXL","Pink"
"36","AN209-BIEGE-L","AN209",4,"AN : LEGGINGS","L","Beige"
"37","AN209-BIEGE-M","AN209",7,"AN : LEGGINGS","M","Beige"
"38","AN209-BIEGE-S","AN209",4,"AN : LEGGINGS","S","Beige"
